6,1
6,1
1,1
28,1
2,1
124,1
6,1
2,1
10,1
6,1
3,1
7,1
2,1
6,1
6,1
4,1
2,1
21,1
6,1
6,1
6,1
6,1
6,1
14,1
2,1
4,1
5,1
2,1
317,1
50,1
17,1
9,1
2,1
6,1
5,1
8,1
10,1
8,1
3,1
6,1
8,1
2,1
104,1
2,1
4,1
6,1
34,1
5,1
6,1
25,1
3,1
29,1
2,1
8,1
9,1
6,1
6,1
6,1
2,1
2,1
3,1
2,1
7,1
6,1
1,1
543,1
2,1
2,1
5,1
2,1
236,1
8,1
3,1
69,1
2,1
6,1
2,1
74,1
9,1
6,1
94,1
74,1
2,1
6,1
12,1
1,1
2,1
3,1
6,1
3,1
13,1
2,1
15,1
5,1
2,1
2,1
2,1
14,1
6,1
5,1
2,1
38,1
104,1
6,1
21,1
332,1
33,1
6,1
6,1
14,1
10,1
2,1
15,1
6,1
2,1
2,1
6,1
52,1
3,1
6,1
1,1
4,1
20,1
2,1
2,1
4,1
2,1
6,1
18,1
2,1
2,1
113,1
6,1
1,1
2,1
1,1
2,1
10,1
6,1
6,1
6,1
2,1
15,1
6,1
2,1
6,1
1,1
2,1
4,1
44,1
12,1
250,1
1,1
1,1
2,1
2,1
29,1
8,1
43,1
1,1
3,1
6,1
6,1
2,1
2,1
7,1
18,1
76,1
1,1
10,1
6,1
3,1
2,1
7,1
6,1
61,1
5,1
10,1
2,1
6,1
9,1
2,1
12,1
7,1
5,1
6,1
2,1
1,1
4,1
28,1
69,1
19,1
2,1
9,1
2,1
2,1
5,1
6,1
6,1
6,1
478,1
2,1
1,1
2,1
2,1
4,1
20,1
21,1
3,1
28,1
89,1
3,1
5,1
13,1
6,1
2,1
4,1
7,1
19,1
6,1
2,1
2,1
1,1
3,1
2,1
13,1
73,1
2,1
2,1
6,1
505,1
1,1
30,1
2,1
4,1
6,1
6,1
6,1
6,1
11,1
3,1
17,1
7,1
6,1
2,1
2,1
3,1
6,1
6,1
12,1
125,1
6,1
2,1
2,1
6,1
1,1
6,1
2,1
18,1
3,1
6,1
6,1
54,1
6,1
2,1
1,1
2,1
2,1
6,1
32,1
3,1
3,1
8,1
10,1
10,1
14,1
6,1
14,1
2,1
6,1
2,1
19,1
1,1
86,1
2,1
59,1
2,1
6,1
6,1
2,1
7,1
10,1
5,1
2,1
6,1
2,1
6,1
2,1
5,1
29,1
6,1
13,1
2,1
2,1
2,1
1,1
6,1
2,1
4,1
154,1
2,1
6,1
6,1
6,1
6,1
2,1
68,1
9,1
122,1
109,1
2,1
6,1
6,1
2,1
58,1
4,1
7,1
64,1
1,1
2,1
6,1
6,1
16,1
5,1
2,1
6,1
1,1
5,1
3,1
3,1
2,1
2,1
83,1
16,1
1,1
47,1
2,1
2,1
8,1
2,1
226,1
6,1
2,1
1,1
2,1
2,1
6,1
16,1
118,1
16,1
15,1
2,1
6,1
12,1
10,1
2,1
211,1
2,1
19,1
1,1
2,1
6,1
14,1
3,1
2,1
12,1
42,1
5,1
6,1
43,1
5,1
2,1
43,1
2,1
7,1
7,1
2,1
6,1
6,1
2,1
10,1
6,1
2,1
76,1
2,1
1,1
4,1
23,1
124,1
81,1
6,1
53,1
447,1
3,1
107,1
14,1
6,1
2,1
2,1
2,1
2,1
2,1
3,1
2,1
6,1
11,1
6,1
67,1
2,1
6,1
4,1
57,1
6,1
6,1
13,1
2,1
2,1
12,1
4,1
3,1
6,1
6,1
7,1
3,1
5,1
6,1
26,1
24,1
20,1
3,1
2,1
2,1
8,1
8,1
6,1
2,1
2,1
2,1
6,1
141,1
40,1
4,1
4,1
2,1
2,1
6,1
1,1
15,1
4,1
5,1
5,1
6,1
43,1
166,1
6,1
2,1
337,1
11,1
37,1
10,1
2,1
27,1
1,1
2,1
33,1
2,1
7,1
76,1
1,1
7,1
6,1
2,1
2,1
12,1
6,1
2,1
6,1
6,1
289,1
72,1
153,1
1,1
5,1
3,1
5,1
7,1
6,1
2,1
130,1
10,1
106,1
6,1
11,1
6,1
2,1
2,1
3,1
2,1
10,1
6,1
1,1
14,1
2,1
12,1
6,1
31,1
6,1
14,1
2,1
2,1
10,1
